日期,天气,最低温,最高温,风向风力,是否为恶劣天气
2018年05月01日广州天气预报,雷阵雨 /雷阵雨,24℃ , 30℃,无持续风向 <3级 ,是
2018年05月02日广州天气预报,雷阵雨 /雷阵雨,23℃ , 31℃,无持续风向 <3级 ,是
2018年05月03日广州天气预报,雷阵雨 /中雨,23℃ , 30℃,无持续风向 <3级 ,是
2018年05月04日广州天气预报,中雨 /雷阵雨,22℃ , 27℃,无持续风向 <3级 ,是
2018年05月05日广州天气预报,多云 /阴,24℃ , 30℃,南风 3～4级 ,否
2018年05月06日广州天气预报,小雨-中雨 /雷阵雨,24℃ , 30℃,无持续风向 <3级 ,是
2018年05月07日广州天气预报,中雨-大雨 /中雨,22℃ , 29℃,无持续风向 <3级 ,是
2018年05月08日广州天气预报,雷阵雨 /中雨-大雨,22℃ , 26℃,无持续风向 <3级 ,是
2018年05月09日广州天气预报,中雨 /中雨,22℃ , 27℃,无持续风向 <3级 ,是
2018年05月10日广州天气预报,阵雨 /阵雨,22℃ , 26℃,无持续风向 <3级 ,否
2018年05月11日广州天气预报,阵雨 /多云,23℃ , 26℃,无持续风向 <3级 ,否
2018年05月12日广州天气预报,多云 /多云,24℃ , 29℃,无持续风向 <3级 ,否
2018年05月13日广州天气预报,多云 /多云,24℃ , 32℃,无持续风向 <3级 ,否
2018年05月14日广州天气预报,雷阵雨 /多云,24℃ , 33℃,无持续风向 <3级 ,是
2018年05月15日广州天气预报,多云 /多云,26℃ , 34℃,无持续风向 <3级 ,否
2018年05月16日广州天气预报,多云 /多云,25℃ , 34℃,无持续风向 <3级 ,否
2018年05月17日广州天气预报,多云 /多云,26℃ , 34℃,南风 3～4级 ,否
2018年05月18日广州天气预报,雷阵雨 /多云,26℃ , 34℃,无持续风向 <3级 ,是
2018年05月19日广州天气预报,多云 /多云,26℃ , 34℃,南风 3～4级 ,否
2018年05月20日广州天气预报,雷阵雨 /多云,26℃ , 34℃,微风 <3级 ,是
2018年05月21日广州天气预报,多云 /多云,26℃ , 34℃,微风 <3级 ,否
2018年05月22日广州天气预报,多云 /雷阵雨,26℃ , 34℃,微风 <3级 ,是
2018年05月23日广州天气预报,多云 /多云,26℃ , 34℃,无持续风向 微风 ,否
2018年05月24日广州天气预报,多云 /多云,27℃ , 35℃,无持续风向 1-2级 ,否
2018年05月25日广州天气预报,雷阵雨 /多云,27℃ , 35℃,南风 3-4级 ,是
2018年05月26日广州天气预报,雷阵雨 /多云,27℃ , 35℃,无持续风向 1-2级 ,是
2018年05月27日广州天气预报,晴间多云 /多云,26℃ , 35℃,无持续风向 1-2级 ,否
2018年05月28日广州天气预报,雷阵雨 /多云,26℃ , 35℃,无持续风向 <3级 ,是
2018年05月29日广州天气预报,雷阵雨 /多云,27℃ , 35℃,无持续风向 <3级 ,是
2018年05月30日广州天气预报,多云 /多云,28℃ , 35℃,无持续风向 <3级 ,否
2018年05月31日广州天气预报,雷阵雨 /雷阵雨,28℃ , 35℃,无持续风向 1-2级 ,是
2018年06月01日广州天气预报,雷阵雨 /雷阵雨,26℃ , 34℃,微风 <3级 ,是
2018年06月02日广州天气预报,雷阵雨 /雷阵雨,25℃ , 31℃,微风 <3级 ,是
2018年06月03日广州天气预报,雷阵雨 /雷阵雨,25℃ , 30℃,微风 <3级 ,是
2018年06月04日广州天气预报,雷阵雨 /中雨,26℃ , 33℃,无持续风向 1-2级 ,是
2018年06月05日广州天气预报,中雨 /雷阵雨,24℃ , 31℃,无持续风向 1-2级 ,是
2018年06月06日广州天气预报,暴雨 /暴雨,24℃ , 28℃,东风 3-4级 ,是
2018年06月07日广州天气预报,暴雨 /暴雨,25℃ , 28℃,东风 3-4级 ,是
2018年06月08日广州天气预报,大暴雨 /暴雨,24℃ , 28℃,东南风 4-5级 ,是
2018年06月09日广州天气预报,阵雨 /多云,25℃ , 30℃,无持续风向 1-2级 ,否
2018年06月10日广州天气预报,多云 /多云,25℃ , 32℃,无持续风向 1-2级 ,否
2018年06月11日广州天气预报,多云 /多云,24℃ , 34℃,无持续风向 1-2级 ,否
2018年06月12日广州天气预报,大雨-暴雨 /暴雨,25℃ , 30℃,无持续风向 <3级 ,是
2018年06月13日广州天气预报,大雨-暴雨 /雷阵雨,25℃ , 28℃,无持续风向 <3级 ,是
2018年06月14日广州天气预报,多云 /多云,24℃ , 30℃,无持续风向 <3级 ,否
2018年06月15日广州天气预报,多云 /多云,24℃ , 32℃,无持续风向 <3级 ,否
2018年06月16日广州天气预报,多云 /多云,25℃ , 31℃,无持续风向 1-2级 ,否
2018年06月17日广州天气预报,雷阵雨 /雷阵雨,26℃ , 33℃,无持续风向 <3级 ,是
2018年06月18日广州天气预报,雷阵雨 /多云,27℃ , 34℃,无持续风向 <3级 ,是
2018年06月19日广州天气预报,雷阵雨 /雷阵雨,27℃ , 33℃,无持续风向 1-2级 ,是
2018年06月20日广州天气预报,雷阵雨 /雷阵雨,28℃ , 34℃,微风 <3级 ,是
2018年06月21日广州天气预报,雷阵雨 /中雨,27℃ , 33℃,无持续风向 <3级 ,是
2018年06月22日广州天气预报,中雨 /中雨,25℃ , 32℃,无持续风向 <3级 ,是
2018年06月23日广州天气预报,中雨 /大雨,26℃ , 30℃,南风 3～4级 ,是
2018年06月24日广州天气预报,雷阵雨 /雷阵雨,25℃ , 32℃,无持续风向 1-2级 ,是
2018年06月25日广州天气预报,雷阵雨 /雷阵雨,26℃ , 33℃,无持续风向 1-2级 ,是
2018年06月26日广州天气预报,雷阵雨 /多云,26℃ , 33℃,无持续风向 1-2级 ,是
2018年06月27日广州天气预报,多云 /多云,26℃ , 34℃,无持续风向 1-2级 ,否
2018年06月28日广州天气预报,多云 /多云,27℃ , 35℃,无持续风向 <3级 ,否
2018年06月29日广州天气预报,多云 /多云,28℃ , 35℃,无持续风向 <3级 ,否
2018年06月30日广州天气预报,雷阵雨 /雷阵雨,27℃ , 35℃,无持续风向 <3级 ,是
2018年07月01日广州天气预报,雷阵雨 /雷阵雨,27℃ , 35℃,无持续风向 1-2级 ,是
2018年07月02日广州天气预报,雷阵雨 /中雨,26℃ , 35℃,无持续风向 <3级 ,是
2018年07月03日广州天气预报,雷阵雨 /雷阵雨,26℃ , 33℃,无持续风向 1-2级 ,是
2018年07月04日广州天气预报,雷阵雨 /雷阵雨,27℃ , 34℃,无持续风向 <3级 ,是
2018年07月05日广州天气预报,雷阵雨 /多云,27℃ , 34℃,无持续风向 1-2级 ,是
2018年07月06日广州天气预报,雷阵雨 /雷阵雨,27℃ , 34℃,无持续风向 <3级 ,是
2018年07月07日广州天气预报,雷阵雨 /雷阵雨,27℃ , 33℃,无持续风向 1-2级 ,是
2018年07月08日广州天气预报,雷阵雨 /雷阵雨,27℃ , 33℃,无持续风向 1-2级 ,是
2018年07月09日广州天气预报,雷阵雨 /多云,26℃ , 33℃,无持续风向 <3级 ,是
2018年07月10日广州天气预报,晴 /晴,25℃ , 35℃,无持续风向 <3级 ,否
2018年07月11日广州天气预报,晴 /多云,26℃ , 35℃,无持续风向 <3级 ,否
2018年07月12日广州天气预报,雷阵雨 /雷阵雨,26℃ , 34℃,无持续风向 <3级 ,是
2018年07月13日广州天气预报,中雨 /中雨,25℃ , 31℃,无持续风向 1-2级 ,是
2018年07月14日广州天气预报,雷阵雨 /雷阵雨,25℃ , 30℃,无持续风向 1-2级 ,是
2018年07月15日广州天气预报,中雨 /中雨,25℃ , 30℃,无持续风向 <3级 ,是
2018年07月16日广州天气预报,阴 /多云,26℃ , 31℃,无持续风向 <3级 ,否
2018年07月17日广州天气预报,雷阵雨 /中雨,26℃ , 33℃,东北风 3-4级 ,是
2018年07月18日广州天气预报,雷阵雨 /雷阵雨,26℃ , 34℃,东风 3～4级 ,是
2018年07月19日广州天气预报,雷阵雨 /多云,27℃ , 34℃,无持续风向 1-2级 ,是
2018年07月20日广州天气预报,多云 /多云,27℃ , 34℃,无持续风向 <3级 ,否
2018年07月21日广州天气预报,多云 /雷阵雨,27℃ , 34℃,无持续风向 1-2级 ,是
2018年07月22日广州天气预报,雷阵雨 /雷阵雨,26℃ , 34℃,无持续风向 1-2级 ,是
2018年07月23日广州天气预报,大雨 /大雨-暴雨,25℃ , 33℃,东南风 3～4级 ,是
2018年07月24日广州天气预报,暴雨 /雷阵雨,25℃ , 31℃,东南风 3-4级 ,是
2018年07月25日广州天气预报,雷阵雨 /多云,26℃ , 33℃,无持续风向 1-2级 ,是
2018年07月26日广州天气预报,雷阵雨 /雷阵雨,26℃ , 33℃,无持续风向 <3级 ,是
2018年07月27日广州天气预报,雷阵雨 /多云,27℃ , 33℃,无持续风向 1-2级 ,是
2018年07月28日广州天气预报,雷阵雨 /多云,27℃ , 34℃,无持续风向 1-2级 ,是
2018年07月29日广州天气预报,多云 /多云,27℃ , 35℃,无持续风向 <3级 ,否
2018年07月30日广州天气预报,雷阵雨 /多云,26℃ , 35℃,无持续风向 1-2级 ,是
2018年07月31日广州天气预报,雷阵雨 /多云,26℃ , 35℃,无持续风向 <3级 ,是
2018年08月01日广州天气预报,雷阵雨 /多云,26℃ , 33℃,无持续风向 <3级 ,是
2018年08月02日广州天气预报,雷阵雨 /雷阵雨,27℃ , 34℃,无持续风向 1-2级 ,是
2018年08月03日广州天气预报,雷阵雨 /雷阵雨,26℃ , 33℃,无持续风向 <3级 ,是
2018年08月04日广州天气预报,雷阵雨 /多云,26℃ , 34℃,无持续风向 1-2级 ,是
2018年08月05日广州天气预报,多云 /多云,27℃ , 34℃,无持续风向 1-2级 ,否
2018年08月06日广州天气预报,雷阵雨 /多云,26℃ , 34℃,无持续风向 <3级 ,是
2018年08月07日广州天气预报,雷阵雨 /多云,26℃ , 35℃,无持续风向 1-2级 ,是
2018年08月08日广州天气预报,多云 /多云,26℃ , 35℃,无持续风向 1-2级 ,否
2018年08月09日广州天气预报,雷阵雨 /雷阵雨,25℃ , 35℃,无持续风向 <3级 ,是
2018年08月10日广州天气预报,中雨 /大雨,25℃ , 31℃,东风 3～4级 ,是
2018年08月11日广州天气预报,大雨 /暴雨,25℃ , 28℃,东风 3-4级 ,是
2018年08月12日广州天气预报,大雨 /阴,25℃ , 30℃,无持续风向 <3级 ,是
2018年08月13日广州天气预报,雷阵雨 /大雨,26℃ , 33℃,无持续风向 1-2级 ,是
2018年08月14日广州天气预报,大雨 /大雨,25℃ , 32℃,东风 3-4级 ,是
2018年08月15日广州天气预报,雷阵雨 /雷阵雨,26℃ , 31℃,东风 3～4级 ,是
2018年08月16日广州天气预报,雷阵雨 /雷阵雨,26℃ , 33℃,无持续风向 1-2级 ,是
2018年08月17日广州天气预报,中雨 /中雨,26℃ , 31℃,无持续风向 1-2级 ,是
2018年08月18日广州天气预报,雷阵雨 /雷阵雨,26℃ , 32℃,微风 <3级 ,是
2018年08月19日广州天气预报,雷阵雨 /雷阵雨,26℃ , 32℃,无持续风向 1-2级 ,是
2018年08月20日广州天气预报,雷阵雨 /雷阵雨,27℃ , 33℃,微风 <3级 ,是
2018年08月21日广州天气预报,雷阵雨 /雷阵雨,26℃ , 33℃,无持续风向 1-2级 ,是
2018年08月22日广州天气预报,雷阵雨 /雷阵雨,26℃ , 34℃,无持续风向 1-2级 ,是
2018年08月23日广州天气预报,雷阵雨 /雷阵雨,25℃ , 34℃,无持续风向 1-2级 ,是
2018年08月24日广州天气预报,雷阵雨 /雷阵雨,26℃ , 34℃,无持续风向 1-2级 ,是
2018年08月25日广州天气预报,多云 /雷阵雨,26℃ , 35℃,无持续风向 <3级 ,是
2018年08月26日广州天气预报,雷阵雨 /雷阵雨,27℃ , 34℃,无持续风向 1-2级 ,是
2018年08月27日广州天气预报,雷阵雨 /大雨,26℃ , 32℃,无持续风向 1-2级 ,是
2018年08月28日广州天气预报,大雨 /暴雨,26℃ , 32℃,无持续风向 1-2级 ,是
2018年08月29日广州天气预报,暴雨 /暴雨,25℃ , 29℃,无持续风向 1-2级 ,是
2018年08月30日广州天气预报,暴雨 /雷阵雨,25℃ , 29℃,南风 3-4级 ,是
2018年08月31日广州天气预报,雷阵雨 /雷阵雨,25℃ , 30℃,无持续风向 1-2级 ,是
2018年09月01日广州天气预报,暴雨 /雷阵雨,24℃ , 29℃,无持续风向 1-2级 ,是
2018年09月02日广州天气预报,雷阵雨 /雷阵雨,24℃ , 30℃,无持续风向 1-2级 ,是
2018年09月03日广州天气预报,雷阵雨 /多云,26℃ , 32℃,无持续风向 1-2级 ,是
2018年09月04日广州天气预报,多云 /多云,26℃ , 34℃,无持续风向 1-2级 ,否
2018年09月05日广州天气预报,雷阵雨 /阵雨,26℃ , 35℃,无持续风向 1-2级 ,是
2018年09月06日广州天气预报,雷阵雨 /中雨,25℃ , 34℃,无持续风向 1-2级 ,是
2018年09月07日广州天气预报,中雨 /中雨,24℃ , 32℃,无持续风向 1-2级 ,是
2018年09月08日广州天气预报,阵雨 /多云,23℃ , 32℃,无持续风向 1-2级 ,否
2018年09月09日广州天气预报,多云 /多云,24℃ , 30℃,无持续风向 1-2级 ,否
2018年09月10日广州天气预报,多云 /多云,24℃ , 31℃,无持续风向 1-2级 ,否
2018年09月11日广州天气预报,多云 /多云,24℃ , 32℃,无持续风向 1-2级 ,否
2018年09月12日广州天气预报,雷阵雨 /中雨,25℃ , 31℃,东北风 3-4级 ,是
2018年09月13日广州天气预报,雷阵雨 /多云,25℃ , 32℃,东北风 3-4级 ,是
2018年09月14日广州天气预报,晴 /晴,26℃ , 34℃,无持续风向 1-2级 ,否
2018年09月15日广州天气预报,晴 /雷阵雨,25℃ , 35℃,东北风 4-5级 ,是
2018年09月16日广州天气预报,大暴雨 /暴雨,24℃ , 29℃,东北风 8-9级 ,是
2018年09月17日广州天气预报,中雨 /雷阵雨,25℃ , 29℃,东南风 4-5级 ,是
2018年09月18日广州天气预报,雷阵雨 /多云,26℃ , 32℃,无持续风向 1-2级 ,是
2018年09月19日广州天气预报,多云 /多云,25℃ , 34℃,无持续风向 1-2级 ,否
2018年09月20日广州天气预报,多云 /多云,25℃ , 34℃,无持续风向 1-2级 ,否
2018年09月21日广州天气预报,雷阵雨 /多云,25℃ , 34℃,无持续风向 1-2级 ,是
2018年09月22日广州天气预报,多云 /多云,26℃ , 33℃,无持续风向 1-2级 ,否
2018年09月23日广州天气预报,雷阵雨 /雷阵雨,25℃ , 31℃,无持续风向 1-2级 ,是
2018年09月24日广州天气预报,雷阵雨 /多云,25℃ , 31℃,无持续风向 1-2级 ,是
2018年09月25日广州天气预报,雷阵雨 /多云,25℃ , 32℃,无持续风向 1-2级 ,是
2018年09月26日广州天气预报,雷阵雨 /多云,25℃ , 32℃,无持续风向 1-2级 ,是
2018年09月27日广州天气预报,多云 /多云,24℃ , 31℃,无持续风向 1-2级 ,否
2018年09月28日广州天气预报,晴 /晴,24℃ , 32℃,北风 3-4级 ,否
2018年09月29日广州天气预报,晴 /多云,22℃ , 29℃,北风 3-4级 ,否
2018年09月30日广州天气预报,晴 /多云,21℃ , 31℃,无持续风向 1-2级 ,否
2018年10月01日广州天气预报,晴 /晴,20℃ , 30℃,无持续风向 1-2级 ,否
2018年10月02日广州天气预报,晴 /晴,19℃ , 31℃,无持续风向 1-2级 ,否
2018年10月03日广州天气预报,晴 /晴,20℃ , 31℃,无持续风向 1-2级 ,否
2018年10月04日广州天气预报,晴 /晴,20℃ , 31℃,北风 3-4级 ,否
2018年10月05日广州天气预报,晴 /晴,20℃ , 30℃,北风 3-4级 ,否
2018年10月06日广州天气预报,晴 /晴,21℃ , 30℃,北风 3-4级 ,否
2018年10月07日广州天气预报,晴 /多云,21℃ , 31℃,无持续风向 1-2级 ,否
2018年10月08日广州天气预报,多云 /多云,22℃ , 32℃,无持续风向 1-2级 ,否
2018年10月09日广州天气预报,多云 /多云,20℃ , 32℃,无持续风向 1-2级 ,否
2018年10月10日广州天气预报,小雨 /小雨,18℃ , 24℃,北风 3-4级 ,否
2018年10月11日广州天气预报,阴 /阴,18℃ , 24℃,北风 3-4级 ,否
2018年10月12日广州天气预报,多云 /多云,19℃ , 25℃,无持续风向 1-2级 ,否
2018年10月13日广州天气预报,阵雨 /多云,21℃ , 26℃,无持续风向 1-2级 ,否
2018年10月14日广州天气预报,阴 /小雨,22℃ , 27℃,无持续风向 1-2级 ,否
2018年10月15日广州天气预报,中雨 /大雨,21℃ , 27℃,无持续风向 1-2级 ,是
2018年10月16日广州天气预报,小雨 /小雨,19℃ , 25℃,北风 3-4级 ,否
2018年10月17日广州天气预报,中雨 /多云,18℃ , 23℃,北风 3-4级 ,是
2018年10月18日广州天气预报,多云 /多云,19℃ , 24℃,无持续风向 1-2级 ,否
2018年10月19日广州天气预报,多云 /多云,21℃ , 25℃,无持续风向 1-2级 ,否
2018年10月20日广州天气预报,阴 /多云,21℃ , 26℃,无持续风向 1-2级 ,否
2018年10月21日广州天气预报,多云 /多云,22℃ , 27℃,无持续风向 1-2级 ,否
2018年10月22日广州天气预报,小雨 /小雨,22℃ , 28℃,无持续风向 1-2级 ,否
2018年10月23日广州天气预报,小雨 /阴,21℃ , 26℃,无持续风向 1-2级 ,否
2018年10月24日广州天气预报,多云 /多云,21℃ , 27℃,无持续风向 1-2级 ,否
2018年10月25日广州天气预报,多云 /多云,21℃ , 28℃,无持续风向 1-2级 ,否
2018年10月26日广州天气预报,小雨 /多云,20℃ , 26℃,北风 3-4级 ,否
2018年10月27日广州天气预报,晴 /晴,16℃ , 26℃,北风 3-4级 ,否
2018年10月28日广州天气预报,晴 /晴,17℃ , 28℃,北风 3-4级 ,否
2018年10月29日广州天气预报,晴 /晴,17℃ , 29℃,无持续风向 1-2级 ,否
2018年10月30日广州天气预报,晴 /晴,17℃ , 29℃,北风 3-4级 ,否
2018年10月31日广州天气预报,晴 /多云,18℃ , 28℃,北风 3-4级 ,否
2018年11月01日广州天气预报,阵雨 /多云,19℃ , 25℃,北风 4-5级 ,否
2018年11月02日广州天气预报,阴 /阴,17℃ , 25℃,北风 3-4级 ,否
2018年11月03日广州天气预报,多云 /多云,18℃ , 26℃,无持续风向 1-2级 ,否
2018年11月04日广州天气预报,多云 /多云,19℃ , 26℃,无持续风向 1-2级 ,否
2018年11月05日广州天气预报,多云 /多云,20℃ , 27℃,无持续风向 1-2级 ,否
2018年11月06日广州天气预报,多云 /多云,21℃ , 29℃,无持续风向 1-2级 ,否
2018年11月07日广州天气预报,多云 /阴,19℃ , 28℃,无持续风向 1-2级 ,否
2018年11月08日广州天气预报,多云 /多云,17℃ , 26℃,无持续风向 1-2级 ,否
2018年11月09日广州天气预报,多云 /多云,19℃ , 26℃,无持续风向 1-2级 ,否
2018年11月10日广州天气预报,阴 /多云,20℃ , 26℃,无持续风向 1-2级 ,否
2018年11月11日广州天气预报,多云 /阴,21℃ , 28℃,无持续风向 1-2级 ,否
2018年11月12日广州天气预报,多云 /阴,19℃ , 26℃,无持续风向 1-2级 ,否
2018年11月13日广州天气预报,多云 /多云,20℃ , 28℃,无持续风向 1-2级 ,否
2018年11月14日广州天气预报,多云 /多云,21℃ , 28℃,无持续风向 1-2级 ,否
2018年11月15日广州天气预报,小雨 /中雨,21℃ , 26℃,东南风 3-4级 ,是
2018年11月16日广州天气预报,小雨 /小雨,20℃ , 25℃,无持续风向 1-2级 ,否
2018年11月17日广州天气预报,小雨 /小雨,17℃ , 23℃,无持续风向 1-2级 ,否
2018年11月18日广州天气预报,阴 /小雨,16℃ , 24℃,无持续风向 1-2级 ,否
2018年11月19日广州天气预报,小雨 /阴,17℃ , 22℃,北风 3-4级 ,否
2018年11月20日广州天气预报,多云 /阵雨,18℃ , 24℃,无持续风向 1-2级 ,否
2018年11月21日广州天气预报,小雨 /小到中雨,14℃ , 24℃,北风 3-4级 ,是
2018年11月22日广州天气预报,多云 /多云,13℃ , 21℃,北风 3-4级 ,否
2018年11月23日广州天气预报,晴 /晴,15℃ , 23℃,无持续风向 1-2级 ,否
2018年11月24日广州天气预报,晴 /多云,15℃ , 25℃,无持续风向 1-2级 ,否
2018年11月25日广州天气预报,多云 /多云,17℃ , 25℃,无持续风向 1-2级 ,否
2018年11月26日广州天气预报,多云 /阴,16℃ , 24℃,无持续风向 1-2级 ,否
2018年11月27日广州天气预报,阴 /小雨,16℃ , 23℃,无持续风向 1-2级 ,否
2018年11月28日广州天气预报,阴 /多云,13℃ , 22℃,无持续风向 1-2级 ,否
2018年11月29日广州天气预报,晴 /晴,14℃ , 25℃,无持续风向 1-2级 ,否
2018年11月30日广州天气预报,多云 /多云,17℃ , 26℃,无持续风向 1-2级 ,否
2018年12月01日广州天气预报,小雨 /多云,18℃ , 25℃,无持续风向 1-2级 ,否
2018年12月02日广州天气预报,多云 /多云,19℃ , 25℃,无持续风向 1-2级 ,否
2018年12月03日广州天气预报,多云 /阴,19℃ , 27℃,无持续风向 1-2级 ,否
2018年12月04日广州天气预报,多云 /多云,18℃ , 27℃,无持续风向 1-2级 ,否
2018年12月05日广州天气预报,多云 /小雨,19℃ , 26℃,无持续风向 1-2级 ,否
2018年12月06日广州天气预报,小雨 /小雨,14℃ , 25℃,无持续风向 1-2级 ,否
2018年12月07日广州天气预报,小雨 /小雨,12℃ , 17℃,北风 3-4级 ,否
2018年12月08日广州天气预报,小雨 /小到中雨,9℃ , 15℃,北风 3-4级 ,是
2018年12月09日广州天气预报,小雨 /小雨,8℃ , 11℃,北风 3-4级 ,否
2018年12月10日广州天气预报,多云 /阴,9℃ , 13℃,无持续风向 1-2级 ,否
2018年12月11日广州天气预报,阴 /小雨,9℃ , 14℃,北风 3-4级 ,否
2018年12月12日广州天气预报,小雨 /阴,7℃ , 11℃,北风 3-4级 ,否
2018年12月13日广州天气预报,多云 /多云,9℃ , 14℃,北风 3-4级 ,否
2018年12月14日广州天气预报,多云 /多云,10℃ , 16℃,北风 3-4级 ,否
2018年12月15日广州天气预报,多云 /多云,13℃ , 19℃,无持续风向 1-2级 ,否
2018年12月16日广州天气预报,小雨 /晴,11℃ , 20℃,北风 3-4级 ,否
2018年12月17日广州天气预报,晴 /晴,9℃ , 20℃,北风 3-4级 ,否
2018年12月18日广州天气预报,晴 /多云,13℃ , 21℃,无持续风向 1-2级 ,否
2018年12月19日广州天气预报,多云 /小雨,15℃ , 22℃,无持续风向 1-2级 ,否
2018年12月20日广州天气预报,多云 /多云,19℃ , 25℃,无持续风向 1-2级 ,否
2018年12月21日广州天气预报,多云 /多云,19℃ , 26℃,无持续风向 1-2级 ,否
2018年12月22日广州天气预报,多云 /小雨,16℃ , 28℃,无持续风向 1-2级 ,否
2018年12月23日广州天气预报,阴 /多云,15℃ , 21℃,北风 3-4级 ,否
2018年12月24日广州天气预报,小雨 /小雨,12℃ , 18℃,无持续风向 1-2级 ,否
2018年12月25日广州天气预报,小雨 /多云,15℃ , 22℃,无持续风向 1-2级 ,否
2018年12月26日广州天气预报,多云 /多云,15℃ , 25℃,无持续风向 1-2级 ,否
2018年12月27日广州天气预报,多云 /阴,13℃ , 22℃,北风 3-4级 ,否
2018年12月28日广州天气预报,多云 /阴,7℃ , 18℃,北风 3-4级 ,否
2018年12月29日广州天气预报,阴 /阴,5℃ , 12℃,北风 4-5级 ,否
2018年12月30日广州天气预报,小雨 /小雨,6℃ , 10℃,北风 4-5级 ,否
2018年12月31日广州天气预报,阴 /阴,6℃ , 9℃,北风 3-4级 ,否
2019年01月01日广州天气预报,阴 /小雨,7℃ , 11℃,北风 3-4级 ,否
2019年01月02日广州天气预报,小雨 /小雨,8℃ , 11℃,北风 3-4级 ,否
2019年01月03日广州天气预报,小雨 /阴,9℃ , 14℃,无持续风向 1-2级 ,否
2019年01月04日广州天气预报,阴 /小雨,14℃ , 18℃,无持续风向 1-2级 ,否
2019年01月05日广州天气预报,阴 /阴,12℃ , 18℃,无持续风向 1-2级 ,否
2019年01月06日广州天气预报,阴 /阴,11℃ , 16℃,无持续风向 1-2级 ,否
2019年01月07日广州天气预报,阴 /小雨,12℃ , 18℃,无持续风向 1-2级 ,否
2019年01月08日广州天气预报,阴 /小雨,13℃ , 17℃,无持续风向 1-2级 ,否
2019年01月09日广州天气预报,小雨 /小雨,12℃ , 19℃,无持续风向 1-2级 ,否
2019年01月10日广州天气预报,小雨 /阴,14℃ , 21℃,无持续风向 1-2级 ,否
2019年01月11日广州天气预报,阴 /小雨,16℃ , 21℃,无持续风向 1-2级 ,否
2019年01月12日广州天气预报,阴 /阴,15℃ , 20℃,无持续风向 1-2级 ,否
2019年01月13日广州天气预报,阴 /阴,16℃ , 21℃,无持续风向 1-2级 ,否
2019年01月14日广州天气预报,阴 /阴,17℃ , 23℃,无持续风向 1-2级 ,否
