日期,天气,最低温,最高温,风向风力,是否为恶劣天气
2019年09月27日广州天气预报,多云 /多云,23℃ , 32℃,无持续风向 1-2级 ,否
2019年09月28日广州天气预报,多云 /多云,23℃ , 33℃,无持续风向 1-2级 ,否
2019年09月29日广州天气预报,晴 /晴,24℃ , 33℃,无持续风向 1-2级 ,否
2019年09月30日广州天气预报,晴 /晴,24℃ , 34℃,无持续风向 1-2级 ,否
2019年10月01日广州天气预报,晴 /晴,24℃ , 34℃,无持续风向 1-2级 ,否
2019年10月02日广州天气预报,晴 /晴,24℃ , 34℃,无持续风向 1-2级 ,否
2019年10月03日广州天气预报,晴 /晴,24℃ , 34℃,无持续风向 1-2级 ,否
2019年10月04日广州天气预报,晴 /晴,25℃ , 34℃,无持续风向 1-2级 ,否
2019年10月05日广州天气预报,晴 /多云,24℃ , 34℃,无持续风向 1-2级 ,否
2019年10月06日广州天气预报,雷阵雨 /雷阵雨,25℃ , 33℃,无持续风向 1-2级 ,是
2019年10月07日广州天气预报,阵雨 /多云,24℃ , 31℃,东风 3-4级 ,否
2019年10月08日广州天气预报,多云 /多云,24℃ , 32℃,无持续风向 1-2级 ,否
2019年10月09日广州天气预报,多云 /晴,24℃ , 31℃,无持续风向 1-2级 ,否
2019年10月10日广州天气预报,多云 /晴,23℃ , 33℃,无持续风向 1-2级 ,否
2019年10月11日广州天气预报,晴 /多云,24℃ , 33℃,无持续风向 1-2级 ,否
2019年10月12日广州天气预报,雷阵雨 /中雨,24℃ , 33℃,无持续风向 1-2级 ,是
2019年10月13日广州天气预报,雷阵雨 /阵雨,22℃ , 30℃,无持续风向 1-2级 ,是
2019年10月14日广州天气预报,阵雨 /阴,22℃ , 29℃,东北风 1-2级 ,否
2019年10月15日广州天气预报,多云 /晴,21℃ , 30℃,无持续风向 1-2级 ,否
2019年10月16日广州天气预报,晴 /晴,20℃ , 30℃,无持续风向 1-2级 ,否
2019年10月17日广州天气预报,晴 /晴,21℃ , 30℃,北风 3-4级 ,否
2019年10月18日广州天气预报,晴 /晴,20℃ , 30℃,北风 3-4级 ,否
2019年10月19日广州天气预报,晴 /晴,21℃ , 30℃,无持续风向 1-2级 ,否
2019年10月20日广州天气预报,晴 /晴,20℃ , 31℃,无持续风向 1-2级 ,否
2019年10月21日广州天气预报,晴 /多云,20℃ , 31℃,无持续风向 1-2级 ,否
2019年10月22日广州天气预报,多云 /多云,21℃ , 31℃,南风 3-4级 ,否
2019年10月23日广州天气预报,阵雨 /阵雨,22℃ , 31℃,无持续风向 1-2级 ,否
2019年10月24日广州天气预报,多云 /多云,21℃ , 29℃,无持续风向 1-2级 ,否
2019年10月25日广州天气预报,多云 /多云,21℃ , 30℃,东南风 1-2级 ,否
2019年10月26日广州天气预报,多云 /多云,22℃ , 30℃,无持续风向 1-2级 ,否
2019年10月27日广州天气预报,多云 /多云,20℃ , 27℃,无持续风向 1-2级 ,否
2019年10月28日广州天气预报,多云 /多云,19℃ , 27℃,无持续风向 1-2级 ,否
2019年10月29日广州天气预报,晴 /晴,16℃ , 26℃,北风 3-4级 ,否
2019年10月30日广州天气预报,多云 /多云,18℃ , 28℃,无持续风向 1-2级 ,否
2019年10月31日广州天气预报,小雨 /多云,20℃ , 26℃,无持续风向 1-2级 ,否
2019年11月01日广州天气预报,多云 /多云,19℃ , 29℃,无持续风向 1-2级 ,否
2019年11月02日广州天气预报,多云 /多云,21℃ , 31℃,无持续风向 1-2级 ,否
2019年11月03日广州天气预报,晴 /晴,20℃ , 30℃,北风 3-4级 ,否
2019年11月04日广州天气预报,晴 /晴,19℃ , 29℃,北风 3-4级 ,否
2019年11月05日广州天气预报,晴 /晴,17℃ , 30℃,无持续风向 1-2级 ,否
2019年11月06日广州天气预报,晴 /多云,19℃ , 29℃,无持续风向 1-2级 ,否
2019年11月07日广州天气预报,晴 /晴,17℃ , 27℃,北风 3-4级 ,否
2019年11月08日广州天气预报,晴 /晴,16℃ , 27℃,东北风 3-4级 ,否
2019年11月09日广州天气预报,晴 /晴,15℃ , 27℃,无持续风向 1-2级 ,否
2019年11月10日广州天气预报,晴 /晴,16℃ , 27℃,无持续风向 1-2级 ,否
2019年11月11日广州天气预报,晴 /晴,18℃ , 28℃,无持续风向 1-2级 ,否
2019年11月12日广州天气预报,晴 /晴,18℃ , 29℃,无持续风向 1-2级 ,否
2019年11月13日广州天气预报,多云 /晴,16℃ , 29℃,北风 3-4级 ,否
2019年11月14日广州天气预报,多云 /晴,14℃ , 25℃,无持续风向 1-2级 ,否
2019年11月15日广州天气预报,晴 /晴,17℃ , 27℃,无持续风向 1-2级 ,否
2019年11月16日广州天气预报,多云 /多云,19℃ , 28℃,无持续风向 1-2级 ,否
2019年11月17日广州天气预报,晴 /多云,17℃ , 29℃,无持续风向 3-4级 ,否
2019年11月18日广州天气预报,多云 /晴,13℃ , 26℃,无持续风向 4-5级 ,否
2019年11月19日广州天气预报,晴 /晴,15℃ , 24℃,北风 3-4级 ,否
2019年11月20日广州天气预报,晴 /晴,16℃ , 25℃,无持续风向 1-2级 ,否
2019年11月21日广州天气预报,晴 /晴,15℃ , 25℃,无持续风向 3-4级 ,否
2019年11月22日广州天气预报,晴 /晴,15℃ , 27℃,无持续风向 1-2级 ,否
2019年11月23日广州天气预报,晴 /晴,16℃ , 29℃,无持续风向 1-2级 ,否
2019年11月24日广州天气预报,晴 /多云,18℃ , 29℃,无持续风向 1-2级 ,否
2019年11月25日广州天气预报,多云 /多云,15℃ , 29℃,北风 4-5级 ,否
2019年11月26日广州天气预报,多云 /多云,18℃ , 25℃,无持续风向 1-2级 ,否
2019年11月27日广州天气预报,多云 /多云,15℃ , 25℃,无持续风向 1-2级 ,否
2019年11月28日广州天气预报,多云 /晴,12℃ , 20℃,东北风 3-4级 ,否
2019年11月29日广州天气预报,多云 /多云,14℃ , 23℃,无持续风向 1-2级 ,否
2019年11月30日广州天气预报,多云 /晴,14℃ , 24℃,北风 1-2级 ,否
2019年12月01日广州天气预报,多云 /多云,12℃ , 26℃,无持续风向 1-2级 ,否
2019年12月02日广州天气预报,多云 /晴,10℃ , 18℃,无持续风向 3-4级 ,否
2019年12月03日广州天气预报,晴 /晴,10℃ , 21℃,北风 3-4级 ,否
2019年12月04日广州天气预报,多云 /多云,12℃ , 22℃,北风 3-4级 ,否
2019年12月05日广州天气预报,阴 /多云,12℃ , 18℃,东北风 3-4级 ,否
2019年12月06日广州天气预报,晴 /晴,9℃ , 20℃,北风 4-5级 ,否
2019年12月07日广州天气预报,晴 /晴,9℃ , 21℃,北风 3-4级 ,否
2019年12月08日广州天气预报,晴 /晴,8℃ , 21℃,无持续风向 1-2级 ,否
2019年12月09日广州天气预报,晴 /晴,8℃ , 21℃,无持续风向 1-2级 ,否
2019年12月10日广州天气预报,晴 /晴,10℃ , 23℃,无持续风向 1-2级 ,否
2019年12月11日广州天气预报,晴 /晴,10℃ , 24℃,无持续风向 1-2级 ,否
2019年12月12日广州天气预报,晴 /多云,12℃ , 26℃,无持续风向 1-2级 ,否
2019年12月13日广州天气预报,晴 /晴,14℃ , 25℃,无持续风向 1-2级 ,否
2019年12月14日广州天气预报,晴 /多云,15℃ , 26℃,无持续风向 1-2级 ,否
2019年12月15日广州天气预报,多云 /多云,18℃ , 25℃,无持续风向 1-2级 ,否
2019年12月16日广州天气预报,小雨 /多云,18℃ , 26℃,无持续风向 1-2级 ,否
2019年12月17日广州天气预报,多云 /多云,18℃ , 27℃,无持续风向 1-2级 ,否
2019年12月18日广州天气预报,多云 /小雨,16℃ , 28℃,无持续风向 1-2级 ,否
2019年12月19日广州天气预报,多云 /多云,13℃ , 19℃,北风 3-4级 ,否
2019年12月20日广州天气预报,多云 /多云,14℃ , 20℃,无持续风向 1-2级 ,否
2019年12月21日广州天气预报,阴 /多云,15℃ , 20℃,无持续风向 1-2级 ,否
2019年12月22日广州天气预报,多云 /多云,16℃ , 23℃,无持续风向 1-2级 ,否
2019年12月23日广州天气预报,多云 /多云,15℃ , 23℃,无持续风向 1-2级 ,否
2019年12月24日广州天气预报,多云 /多云,14℃ , 23℃,北风 3-4级 ,否
2019年12月25日广州天气预报,阴 /多云,14℃ , 23℃,无持续风向 1-2级 ,否
2019年12月26日广州天气预报,多云 /多云,10℃ , 22℃,北风 4-5级 ,否
2019年12月27日广州天气预报,多云 /多云,10℃ , 20℃,北风 3-4级 ,否
2019年12月28日广州天气预报,多云 /多云,14℃ , 22℃,无持续风向 1-2级 ,否
2019年12月29日广州天气预报,多云 /阴,15℃ , 19℃,无持续风向 1-2级 ,否
2019年12月30日广州天气预报,多云 /多云,15℃ , 25℃,无持续风向 1-2级 ,否
2019年12月31日广州天气预报,多云 /多云,13℃ , 22℃,北风 3-4级 ,否
2020年01月01日广州天气预报,多云 /晴,13℃ , 22℃,无持续风向 1-2级 ,否
2020年01月02日广州天气预报,阴 /多云,15℃ , 21℃,无持续风向 1-2级 ,否
2020年01月03日广州天气预报,多云 /多云,14℃ , 23℃,无持续风向 1-2级 ,否
2020年01月04日广州天气预报,多云 /多云,15℃ , 25℃,无持续风向 1-2级 ,否
2020年01月05日广州天气预报,多云 /多云,17℃ , 27℃,无持续风向 1-2级 ,否
2020年01月06日广州天气预报,阴 /阴,19℃ , 25℃,无持续风向 1-2级 ,否
2020年01月07日广州天气预报,多云 /多云,15℃ , 26℃,无持续风向 1-2级 ,否
2020年01月08日广州天气预报,多云 /多云,16℃ , 25℃,东北风 3-4级 ,否
2020年01月09日广州天气预报,多云 /多云,17℃ , 24℃,无持续风向 1-2级 ,否
2020年01月10日广州天气预报,多云 /多云,16℃ , 25℃,无持续风向 1-2级 ,否
2020年01月11日广州天气预报,小雨 /小雨,11℃ , 22℃,北风 3-4级 ,否
2020年01月12日广州天气预报,多云 /多云,11℃ , 14℃,北风 3-4级 ,否
2020年01月13日广州天气预报,多云 /多云,13℃ , 21℃,无持续风向 1-2级 ,否
2020年01月14日广州天气预报,多云 /多云,13℃ , 22℃,无持续风向 1-2级 ,否
2020年01月15日广州天气预报,多云 /小雨,16℃ , 24℃,无持续风向 1-2级 ,否
2020年01月16日广州天气预报,小雨 /小雨,11℃ , 24℃,无持续风向 1-2级 ,否
2020年01月17日广州天气预报,多云 /多云,13℃ , 18℃,北风 3-4级 ,否
2020年01月18日广州天气预报,阴 /阴,12℃ , 19℃,无持续风向 1-2级 ,否
2020年01月19日广州天气预报,小雨 /多云,13℃ , 18℃,无持续风向 1-2级 ,否
2020年01月20日广州天气预报,多云 /多云,14℃ , 20℃,无持续风向 1-2级 ,否
2020年01月21日广州天气预报,多云 /多云,16℃ , 20℃,无持续风向 1-2级 ,否
2020年01月22日广州天气预报,多云 /多云,18℃ , 24℃,无持续风向 1-2级 ,否
2020年01月23日广州天气预报,多云 /多云,19℃ , 27℃,无持续风向 1-2级 ,否
2020年01月24日广州天气预报,多云 /小雨,17℃ , 28℃,无持续风向 1-2级 ,否
2020年01月25日广州天气预报,小雨 /中到大雨,10℃ , 21℃,北风 3-4级 ,是
2020年01月26日广州天气预报,小雨 /多云,8℃ , 14℃,北风 4-5级 ,否
2020年01月27日广州天气预报,多云 /多云,8℃ , 13℃,北风 3-4级 ,否
2020年01月28日广州天气预报,多云 /多云,8℃ , 14℃,北风 3-4级 ,否
2020年01月29日广州天气预报,多云 /晴,9℃ , 16℃,北风 3-4级 ,否
2020年01月30日广州天气预报,晴 /晴,6℃ , 18℃,无持续风向 1-2级 ,否
2020年01月31日广州天气预报,晴 /晴,8℃ , 19℃,无持续风向 1-2级 ,否
2020年02月01日广州天气预报,多云 /阴,12℃ , 20℃,无持续风向 1-2级 ,否
2020年02月02日广州天气预报,阴 /阴,14℃ , 21℃,无持续风向 1-2级 ,否
2020年02月03日广州天气预报,小雨 /小雨,12℃ , 20℃,北风 3-4级 ,否
2020年02月04日广州天气预报,小雨 /阴,13℃ , 15℃,北风 3-4级 ,否
2020年02月05日广州天气预报,阴 /阴,14℃ , 17℃,无持续风向 1-2级 ,否
2020年02月06日广州天气预报,小雨 /小雨,13℃ , 19℃,无持续风向 1-2级 ,否
2020年02月07日广州天气预报,阴 /多云,11℃ , 19℃,无持续风向 1-2级 ,否
2020年02月08日广州天气预报,多云 /多云,10℃ , 19℃,无持续风向 1-2级 ,否
2020年02月09日广州天气预报,多云 /多云,12℃ , 17℃,无持续风向 1-2级 ,否
2020年02月10日广州天气预报,多云 /小雨,15℃ , 20℃,无持续风向 1-2级 ,否
2020年02月11日广州天气预报,阴 /阴,15℃ , 19℃,无持续风向 1-2级 ,否
2020年02月12日广州天气预报,小雨 /小到中雨,17℃ , 22℃,无持续风向 1-2级 ,是
2020年02月13日广州天气预报,大到暴雨 /中雨,16℃ , 19℃,无持续风向 1-2级 ,是
2020年02月14日广州天气预报,中雨 /中到大雨,16℃ , 21℃,无持续风向 1-2级 ,是
2020年02月15日广州天气预报,大到暴雨 /大雨,8℃ , 21℃,南风 3-4级 ,是
2020年02月16日广州天气预报,阴 /多云,6℃ , 12℃,北风 5-6级 ,是
2020年02月17日广州天气预报,多云 /晴,5℃ , 15℃,北风 3-4级 ,否
2020年02月18日广州天气预报,晴 /多云,7℃ , 18℃,无持续风向 1-2级 ,否
2020年02月19日广州天气预报,多云 /多云,10℃ , 20℃,无持续风向 1-2级 ,否
2020年02月20日广州天气预报,多云 /多云,14℃ , 22℃,无持续风向 1-2级 ,否
2020年02月21日广州天气预报,多云 /多云,14℃ , 25℃,无持续风向 1-2级 ,否
2020年02月22日广州天气预报,晴 /多云,15℃ , 26℃,无持续风向 1-2级 ,否
2020年02月23日广州天气预报,晴 /多云,16℃ , 26℃,无持续风向 1-2级 ,否
2020年02月24日广州天气预报,多云 /阴,17℃ , 28℃,无持续风向 1-2级 ,否
2020年02月25日广州天气预报,多云 /多云,18℃ , 27℃,无持续风向 1-2级 ,否
2020年02月26日广州天气预报,多云 /多云,18℃ , 28℃,无持续风向 1-2级 ,否
2020年02月27日广州天气预报,多云 /多云,17℃ , 28℃,东南风 3-4级 ,否
2020年02月28日广州天气预报,多云 /多云,18℃ , 25℃,无持续风向 1-2级 ,否
2020年02月29日广州天气预报,多云 /多云,18℃ , 27℃,无持续风向 1-2级 ,否
2020年03月01日广州天气预报,多云 /多云,18℃ , 28℃,无持续风向 1-2级 ,否
2020年03月02日广州天气预报,多云 /多云,18℃ , 27℃,无持续风向 1-2级 ,否
2020年03月03日广州天气预报,阵雨 /中到大雨,17℃ , 24℃,无持续风向 1-2级 ,是
2020年03月04日广州天气预报,中雨 /中雨,13℃ , 19℃,北风 3-4级 ,是
2020年03月05日广州天气预报,多云 /阵雨,14℃ , 19℃,东北风 3-4级 ,否
2020年03月06日广州天气预报,阵雨 /阵雨,18℃ , 23℃,东南风 3-4级 ,否
2020年03月07日广州天气预报,阵雨 /阵雨,20℃ , 24℃,南风 3-4级 ,否
2020年03月08日广州天气预报,阵雨 /阵雨,22℃ , 25℃,东南风 3-4级 ,否
2020年03月09日广州天气预报,小雨 /阵雨,17℃ , 26℃,南风 3-4级 ,否
2020年03月10日广州天气预报,多云 /多云,15℃ , 23℃,北风 3-4级 ,否
2020年03月11日广州天气预报,多云 /阵雨,16℃ , 21℃,无持续风向 1-2级 ,否
2020年03月12日广州天气预报,阴 /阵雨,19℃ , 24℃,无持续风向 1-2级 ,否
2020年03月13日广州天气预报,小雨 /小雨,17℃ , 24℃,无持续风向 1-2级 ,否
2020年03月14日广州天气预报,多云 /多云,14℃ , 22℃,北风 3-4级 ,否
2020年03月15日广州天气预报,多云 /多云,17℃ , 25℃,无持续风向 1-2级 ,否
2020年03月16日广州天气预报,多云 /多云,19℃ , 23℃,无持续风向 1-2级 ,否
2020年03月17日广州天气预报,阵雨 /中雨,18℃ , 24℃,无持续风向 1-2级 ,是
2020年03月18日广州天气预报,中雨 /中雨,18℃ , 22℃,无持续风向 1-2级 ,是
2020年03月19日广州天气预报,中雨 /阵雨,20℃ , 22℃,无持续风向 1-2级 ,是
2020年03月20日广州天气预报,阵雨 /阴,20℃ , 22℃,无持续风向 1-2级 ,否
2020年03月21日广州天气预报,小雨 /阵雨,21℃ , 25℃,无持续风向 1-2级 ,否
2020年03月22日广州天气预报,多云 /多云,21℃ , 28℃,无持续风向 1-2级 ,否
2020年03月23日广州天气预报,多云 /多云,20℃ , 28℃,无持续风向 1-2级 ,否
2020年03月24日广州天气预报,多云 /雷阵雨,22℃ , 28℃,无持续风向 1-2级 ,是
2020年03月25日广州天气预报,雷阵雨 /雷阵雨,21℃ , 28℃,无持续风向 1-2级 ,是
2020年03月26日广州天气预报,雷阵雨 /雷阵雨,20℃ , 27℃,无持续风向 1-2级 ,是
2020年03月27日广州天气预报,大到暴雨 /大雨,16℃ , 26℃,无持续风向 1-2级 ,是
2020年03月28日广州天气预报,阴 /阵雨,17℃ , 21℃,北风 3-4级 ,否
2020年03月29日广州天气预报,阵雨 /雷阵雨,18℃ , 21℃,无持续风向 1-2级 ,是
2020年03月30日广州天气预报,阵雨 /阵雨,15℃ , 16℃,北风 3-4级 ,否
2020年03月31日广州天气预报,小雨 /阵雨,14℃ , 16℃,北风 3-4级 ,否
2020年04月01日广州天气预报,雷阵雨 /雷阵雨,14℃ , 17℃,无持续风向 1-2级 ,是
2020年04月02日广州天气预报,阵雨 /雷阵雨,17℃ , 19℃,东南风 3-4级 ,是
2020年04月03日广州天气预报,小到中雨 /中雨,17℃ , 21℃,无持续风向 1-2级 ,是
2020年04月04日广州天气预报,小雨 /中到大雨,16℃ , 19℃,无持续风向 1-2级 ,是
2020年04月05日广州天气预报,中到大雨 /大雨,15℃ , 17℃,无持续风向 1-2级 ,是
2020年04月06日广州天气预报,大雨 /中雨,14℃ , 16℃,无持续风向 1-2级 ,是
2020年04月07日广州天气预报,阴 /阴,15℃ , 19℃,无持续风向 1-2级 ,否
2020年04月08日广州天气预报,多云 /多云,18℃ , 24℃,无持续风向 1-2级 ,否
2020年04月09日广州天气预报,多云 /多云,17℃ , 27℃,无持续风向 1-2级 ,否
2020年04月10日广州天气预报,多云 /多云,18℃ , 27℃,无持续风向 1-2级 ,否
2020年04月11日广州天气预报,中到大雨 /阵雨,15℃ , 26℃,北风 3-4级 ,是
2020年04月12日广州天气预报,晴 /晴,12℃ , 22℃,北风 4-5级 ,否
2020年04月13日广州天气预报,多云 /多云,15℃ , 24℃,无持续风向 1-2级 ,否
2020年04月14日广州天气预报,阴 /多云,14℃ , 23℃,无持续风向 1-2级 ,否
2020年04月15日广州天气预报,多云 /多云,16℃ , 25℃,无持续风向 1-2级 ,否
2020年04月16日广州天气预报,多云 /多云,18℃ , 27℃,无持续风向 1-2级 ,否
2020年04月17日广州天气预报,多云 /多云,20℃ , 28℃,无持续风向 1-2级 ,否
2020年04月18日广州天气预报,多云 /多云,22℃ , 28℃,无持续风向 1-2级 ,否
2020年04月19日广州天气预报,多云 /多云,22℃ , 29℃,无持续风向 1-2级 ,否
2020年04月20日广州天气预报,多云 /多云,23℃ , 30℃,无持续风向 1-2级 ,否
2020年04月21日广州天气预报,雷阵雨 /雷阵雨,20℃ , 31℃,无持续风向 1-2级 ,是
2020年04月22日广州天气预报,中雨 /小到中雨,17℃ , 20℃,东北风 3-4级 ,是
2020年04月23日广州天气预报,小到中雨 /中到大雨,14℃ , 21℃,无持续风向 1-2级 ,是
2020年04月24日广州天气预报,小雨 /阵雨,15℃ , 18℃,无持续风向 1-2级 ,否
2020年04月25日广州天气预报,阵雨 /阵雨,17℃ , 23℃,无持续风向 1-2级 ,否
2020年04月26日广州天气预报,阴 /多云,18℃ , 25℃,无持续风向 1-2级 ,否
2020年04月27日广州天气预报,晴 /多云,18℃ , 28℃,无持续风向 1-2级 ,否
2020年04月28日广州天气预报,晴 /多云,21℃ , 31℃,无持续风向 1-2级 ,否
2020年04月29日广州天气预报,多云 /多云,21℃ , 31℃,无持续风向 1-2级 ,否
2020年04月30日广州天气预报,多云 /多云,22℃ , 31℃,无持续风向 1-2级 ,否
2020年05月01日广州天气预报,多云 /多云,23℃ , 31℃,无持续风向 1-2级 ,否
2020年05月02日广州天气预报,多云 /多云,24℃ , 32℃,无持续风向 1-2级 ,否
2020年05月03日广州天气预报,晴 /晴,24℃ , 33℃,无持续风向 1-2级 ,否
2020年05月04日广州天气预报,晴 /晴,26℃ , 35℃,无持续风向 1-2级 ,否
2020年05月05日广州天气预报,多云 /多云,26℃ , 35℃,无持续风向 1-2级 ,否
2020年05月06日广州天气预报,多云 /多云,26℃ , 34℃,南风 3-4级 ,否
2020年05月07日广州天气预报,多云 /多云,27℃ , 35℃,南风 3-4级 ,否
2020年05月08日广州天气预报,多云 /多云,28℃ , 35℃,南风 3-4级 ,否
2020年05月09日广州天气预报,多云 /多云,27℃ , 35℃,南风 3-4级 ,否
2020年05月10日广州天气预报,雷阵雨 /雷阵雨,25℃ , 32℃,无持续风向 1-2级 ,是
2020年05月11日广州天气预报,中雨 /雷阵雨,24℃ , 31℃,无持续风向 1-2级 ,是
2020年05月12日广州天气预报,雷阵雨 /雷阵雨,23℃ , 31℃,无持续风向 1-2级 ,是
2020年05月13日广州天气预报,雷阵雨 /多云,26℃ , 32℃,东南风 3-4级 ,是
2020年05月14日广州天气预报,雷阵雨 /多云,26℃ , 30℃,东南风 3-4级 ,是
2020年05月15日广州天气预报,雷阵雨 /雷阵雨,26℃ , 32℃,无持续风向 1-2级 ,是
2020年05月16日广州天气预报,雷阵雨 /雷阵雨,26℃ , 34℃,无持续风向 1-2级 ,是
2020年05月17日广州天气预报,雷阵雨 /大到暴雨,23℃ , 33℃,无持续风向 1-2级 ,是
2020年05月18日广州天气预报,雷阵雨 /雷阵雨,23℃ , 28℃,无持续风向 1-2级 ,是
2020年05月19日广州天气预报,雷阵雨 /雷阵雨,24℃ , 31℃,无持续风向 1-2级 ,是
2020年05月20日广州天气预报,雷阵雨 /暴雨,24℃ , 31℃,无持续风向 1-2级 ,是
2020年05月21日广州天气预报,暴雨 /大到暴雨,24℃ , 28℃,东南风 3-4级 ,是
2020年05月22日广州天气预报,雷阵雨 /阵雨,24℃ , 29℃,无持续风向 1-2级 ,是
2020年05月23日广州天气预报,雷阵雨 /雷阵雨,24℃ , 30℃,无持续风向 1-2级 ,是
2020年05月24日广州天气预报,雷阵雨 /阵雨,25℃ , 32℃,东南风 3-4级 ,是
2020年05月25日广州天气预报,暴雨 /大到暴雨,24℃ , 29℃,南风 3-4级 ,是
2020年05月26日广州天气预报,阵雨 /多云,25℃ , 31℃,无持续风向 1-2级 ,否
2020年05月27日广州天气预报,多云 /雷阵雨,26℃ , 31℃,无持续风向 1-2级 ,是
2020年05月28日广州天气预报,多云 /雷阵雨,26℃ , 31℃,无持续风向 1-2级 ,是
2020年05月29日广州天气预报,雷阵雨 /中雨,26℃ , 31℃,无持续风向 1-2级 ,是
2020年05月30日广州天气预报,雷阵雨 /雷阵雨,26℃ , 30℃,无持续风向 1-2级 ,是
2020年05月31日广州天气预报,雷阵雨 /雷阵雨,26℃ , 31℃,无持续风向 1-2级 ,是
2020年06月01日广州天气预报,雷阵雨 /雷阵雨,25℃ , 32℃,无持续风向 1-2级 ,是
2020年06月02日广州天气预报,雷阵雨 /雷阵雨,25℃ , 32℃,无持续风向 1-2级 ,是
2020年06月03日广州天气预报,雷阵雨 /雷阵雨,26℃ , 33℃,南风 3-4级 ,是
2020年06月04日广州天气预报,雷阵雨 /中雨,25℃ , 33℃,南风 3-4级 ,是
2020年06月05日广州天气预报,中雨 /暴雨,24℃ , 31℃,南风 3-4级 ,是
2020年06月06日广州天气预报,大雨 /暴雨,25℃ , 30℃,西南风 3-4级 ,是
2020年06月07日广州天气预报,大雨 /中雨,25℃ , 29℃,无持续风向 1-2级 ,是
2020年06月08日广州天气预报,暴雨 /大雨,25℃ , 28℃,无持续风向 1-2级 ,是
2020年06月09日广州天气预报,中雨 /雷阵雨,26℃ , 31℃,南风 3-4级 ,是
2020年06月10日广州天气预报,雷阵雨 /雷阵雨,25℃ , 31℃,无持续风向 1-2级 ,是
2020年06月11日广州天气预报,多云 /多云,26℃ , 34℃,无持续风向 1-2级 ,否
2020年06月12日广州天气预报,多云 /多云,26℃ , 35℃,无持续风向 1-2级 ,否
